no,DBH,height,Species
1,5.6,5.2,DF
2,6.2,5.7,DF
3,6.4,6.7,DF
4,7.8,6.9,DF
5,5.1,6.9,DF
6,7.4,7,DF
7,7,7,DF
8,8.6,7,DF
9,7.5,7.2,DF
10,5.1,7.2,DF
11,8.7,7.2,DF
12,7.8,7.4,DF
13,7.5,7.5,DF
14,5.5,7.5,DF
15,7.6,7.5,DF
16,5.7,7.7,HWD
17,6.2,7.7,DF
18,6.6,7.7,DF
19,7,8,DF
20,5.3,8.2,DF
21,7.9,8.3,HWD
22,7.2,8.4,HWD
23,17.4,8.4,HWD
24,7.8,8.4,DF
25,8,8.5,DF
26,7.2,8.5,DF
27,5.8,8.6,HWD
28,17.3,8.6,DF
29,11.5,8.6,DF
30,6.2,8.7,DF
31,7.9,8.7,DF
32,6.1,8.7,DF
33,6.4,8.8,DF
34,5.7,8.9,DF
35,5.7,9,HWD
36,6.3,9,DF
37,7.9,9,DF
38,6.3,9.2,DF
39,9.9,9.4,DF
40,6.5,9.5,HWD
41,7.9,9.5,DF
42,6.8,9.5,DF
43,7.7,9.6,DF
44,5.9,9.6,DF
45,5.5,9.7,HWD
46,5.6,9.7,DF
47,6.3,9.7,DF
48,5.3,10,HWD
49,7.7,10,DF
50,8.6,10.2,DF
51,5.4,10.2,DF
52,8.1,10.3,HWD
53,6.2,10.3,HWD
54,9.2,10.3,DF
55,6.3,10.5,DF
56,6.9,10.5,DF
57,6.9,10.5,DF
58,6.9,10.5,HWD
59,12.2,10.6,DF
60,6.8,10.6,DF
61,9.7,10.7,DF
62,6.3,10.8,HWD
63,5.3,10.8,HWD
64,8,10.8,DF
65,8,10.8,HWD
66,5.3,10.9,HWD
67,7,11,HWD
68,9.6,11,DF
69,10.5,11,DF
70,8,11,DF
71,6.8,11,DF
72,6.6,11,DF
73,9.6,11.2,HWD
74,7.9,11.2,HWD
75,8.3,11.2,DF
76,8.4,11.2,DF
77,8.3,11.4,HWD
78,7.3,11.4,HWD
79,7.9,11.4,DF
80,7.6,11.4,DF
81,10.9,11.4,DF
82,8.7,11.5,DF
83,5.8,11.6,HWD
84,6.1,11.6,DF
85,8.2,11.7,DF
86,7.2,11.7,DF
87,8,11.7,HWD
88,7.6,11.9,DF
89,6.5,12,HWD
90,7.1,12,HWD
91,8.4,12,DF
92,8.1,12,DF
93,7.2,12,DF
94,10.5,12.1,DF
95,8.8,12.2,HWD
96,9.7,12.2,DF
97,9.2,12.2,DF
98,7.7,12.3,HWD
99,10.1,12.3,HWD
100,8.4,12.3,HWD
101,10,12.3,HWD
102,5.8,12.3,DF
103,7.6,12.4,HWD
104,7.9,12.4,HWD
105,6.2,12.5,HWD
106,9.7,12.5,HWD
107,7.9,12.5,DF
108,6.1,12.6,HWD
109,9.2,12.6,DF
110,6.5,12.7,HWD
111,6.9,12.8,HWD
112,10.1,12.8,HWD
113,8.6,12.8,DF
114,7.6,12.8,DF
115,10.5,12.8,DF
