no,DBH,height,Species
1,6.4,6.7,DF
2,5.1,6.9,DF
3,7.8,6.9,DF
4,7,7,DF
5,7.4,7,DF
6,8.6,7,DF
7,7.5,7.2,DF
8,5.1,7.2,DF
9,7.8,7.4,DF
10,5.5,7.5,DF
11,6.2,7.7,DF
12,7,8,DF
13,5.3,8.2,DF
14,7.8,8.4,DF
15,7.9,8.7,DF
16,6.2,8.7,DF
17,6.4,8.8,DF
18,5.7,8.9,DF
19,6.3,9,DF
20,7.9,9.5,DF
21,6.8,9.5,DF
22,5.6,9.7,DF
23,5.4,10.2,DF
24,6.3,10.5,DF
25,5.8,12.3,DF
26,5.4,14.1,DF
27,9.2,19,DF
28,6.7,0,DF
29,5.6,5.2,DF
30,6.2,5.7,DF
31,8.7,7.2,DF
32,7.6,7.5,DF
33,7.5,7.5,DF
34,6.6,7.7,DF
35,7.2,8.5,DF
36,8,8.5,DF
37,17.3,8.6,DF
38,11.5,8.6,DF
39,6.1,8.7,DF
40,7.9,9,DF
41,6.3,9.2,DF
42,9.9,9.4,DF
43,5.9,9.6,DF
44,7.7,9.6,DF
45,6.3,9.7,DF
46,7.7,10,DF
47,8.6,10.2,DF
48,9.2,10.3,DF
49,6.9,10.5,DF
50,6.9,10.5,DF
51,6.8,10.6,DF
52,12.2,10.6,DF
53,9.7,10.7,DF
54,8,10.8,DF
55,8,11,DF
56,10.5,11,DF
57,6.8,11,DF
58,9.6,11,DF
59,6.6,11,DF
60,8.4,11.2,DF
61,8.3,11.2,DF
62,10.9,11.4,DF
63,7.6,11.4,DF
64,7.9,11.4,DF
65,8.7,11.5,DF
66,6.1,11.6,DF
67,8.2,11.7,DF
68,7.2,11.7,DF
69,7.6,11.9,DF
70,8.4,12,DF
71,7.2,12,DF
72,8.1,12,DF
73,10.5,12.1,DF
74,9.2,12.2,DF
75,9.7,12.2,DF
76,7.9,12.5,DF
77,9.2,12.6,DF
78,7.6,12.8,DF
79,10.5,12.8,DF
80,8.6,12.8,DF
81,8.9,12.8,DF
82,9.9,12.8,DF
83,8.9,12.8,DF
84,10.6,12.9,DF
85,7.6,12.9,DF
86,9.2,12.9,DF
87,9.7,12.9,DF
88,10.6,13,DF
89,10,13,DF
90,9.9,13.1,DF
91,9.5,13.2,DF
92,10.1,13.2,DF
93,9,13.2,DF
94,10.1,13.3,DF
95,8.4,13.3,DF
96,13,13.4,DF
97,10.7,13.4,DF
98,11.8,13.4,DF
99,13.4,13.4,DF
100,9.9,13.5,DF
101,10.4,13.6,DF
102,9.9,13.6,DF
103,10.1,13.6,DF
104,11.2,13.6,DF
105,8.1,13.7,DF
106,9.1,13.7,DF
107,9.8,13.7,DF
108,11.6,13.7,DF
109,9.8,13.7,DF
110,8.6,13.8,DF
111,10.3,14,DF
112,8,14,DF
113,9,14,DF
114,9,14,DF
115,10.4,14,DF
116,12.5,14,DF
117,12.9,14,DF
118,12.4,14.1,DF
119,10.9,14.2,DF
120,10.7,14.3,DF
121,10,14.3,DF
122,11.2,14.3,DF
123,9.9,14.4,DF
124,10.4,14.4,DF
125,9.8,14.4,DF
126,13.7,14.4,DF
127,9.9,14.5,DF
128,12.9,14.6,DF
129,8.7,14.6,DF
130,12.5,14.6,DF
131,10.2,14.7,DF
132,9,14.7,DF
133,11.1,14.7,DF
134,17.1,14.8,DF
135,12.3,14.8,DF
136,13.5,14.8,DF
137,13.9,14.8,DF
138,9.5,14.8,DF
139,9,14.9,DF
140,10.4,14.9,DF
141,11.6,14.9,DF
142,11.1,15,DF
143,11.9,15,DF
144,12.1,15,DF
145,13,15,DF
146,13.4,15,DF
147,16.9,15.1,DF
148,9.9,15.1,DF
149,9.2,15.2,DF
150,12.2,15.2,DF
151,13.5,15.3,DF
152,14.4,15.4,DF
153,15.4,15.4,DF
154,11.4,15.4,DF
155,13.7,15.5,DF
156,9.9,15.6,DF
157,17.3,15.6,DF
158,12.9,15.6,DF
159,10.9,15.7,DF
160,11.5,15.8,DF
161,13.5,15.9,DF
162,12.5,15.9,DF
163,13,16,DF
164,15,16,DF
165,14.9,16,DF
166,13.8,16.2,DF
167,15,16.2,DF
168,16.6,16.2,DF
169,12.1,16.2,DF
170,16,16.2,DF
171,11.2,16.3,DF
172,14.3,16.3,DF
173,13.8,16.5,DF
174,17.3,16.6,DF
175,16.7,16.7,DF
176,14.6,16.7,DF
177,15.6,16.7,DF
178,10.3,16.7,DF
179,15.8,16.8,DF
180,11.4,16.8,DF
181,13.5,16.9,DF
182,13.1,17,DF
183,16.5,17,DF
184,16.1,17.1,DF
185,17.9,17.2,DF
186,19.7,17.2,DF
187,16.3,17.3,DF
188,14.5,17.3,DF
189,16.9,17.3,DF
190,12.9,17.3,DF
191,13.4,17.3,DF
192,17.7,17.3,DF
193,16.1,17.4,DF
194,15,17.4,DF
195,15.4,17.4,DF
196,16.5,17.5,DF
197,15.6,17.7,DF
198,15.4,17.7,DF
199,17.4,17.7,DF
200,15.9,17.8,DF
201,18.1,17.8,DF
202,14.4,17.9,DF
203,17.6,18,DF
204,17.1,18,DF
205,17.2,18.1,DF
206,18.3,18.3,DF
207,16.5,18.6,DF
208,16.9,18.8,DF
209,14.9,19.2,DF
210,18.1,19.3,DF
211,19.9,19.5,DF
212,19.4,19.6,DF
213,14.4,20,DF
214,19.3,20,DF
215,19.5,20.2,DF
216,7.7,22.8,DF
217,6.2,7.5,DF
218,7,7.7,DF
219,7.3,8,DF
220,7.5,8.2,DF
221,9.1,8.4,DF
222,10.3,8.7,DF
